추천장소,도보이동km_1,추천장소2,도보이동km_2,추천장소3
DU COUPLE,2.41,"사곶해변, 검은낭, 서풍받이, 대청도, 대청도 농여해변",1.7,"장화리일몰조망지, 노을빛바다애글램핑, 바다로글램핑, 장곶횟집, 티라시아리조트"
잘란잘란,2.52,"소청도, 연평도, 진촌리 현무암, 대청도 옥죽동 해안사구, 백령도",1.53,"서울횟집, 석포리선착장, 무태돈대, 산당, 강화도 황청낚시터"
테라스스키,2.72,"소청도 등대, 백령도 콩돌해변, 용틀임 바위, 분바위와 월띠, 심청각",1.62,"영흥도어울림캠핑장, 호룡곡산, 풍도, 블랙트리캠핑, 장경리해수욕장"
백운산전망대,0.54,"굴업도, 울도, 소야도 떼뿌리 해변, 덕적도 능동자갈마당, 덕적도 비조봉",0.53,"거잠포해변, 솔밭회조개구이, 카페, 잠진도길28, 엠클리프"
부평 굴포누리 기후변화체험관,0.0,"아차산배수지체육공원, 오산반려동물테마파크, 부평 굴포누리 기후변화체험관, 성령대군묘, 성촌공원",0.0,
박석고개,0.94,"덕적군도, 서포리해변, 밧지름해변, 회나라식당, 진리도우선착장",0.39,"동양염전베이커리카페, 해상궁, 을왕리300도씨 해물갈비, 미송쌈정식, 늘목"
삼산저수지,0.17,"소야도, 난정저수지, 난정리 전망대, 난정리 해바라기마을 정원, 주문도",0.32,"정수사강화, 토가, 마니산산채, 함허동천계곡, 함허동천야영장"
항포낚시터,0.45,"망향대, 대이작도선착장, 소이작도, 부아산 구름다리, 작은풀안 해변",0.42,"마니산짜장, 국자와 주걱, 유진면옥, 강화손칼국수 본점, 백송가든백송 손두부"
황금산문화공원,0.96,"교동제비집, 부아산전망대, 대이작도, 삼신할미약수터, 강화도파머스마켓",0.35,"강화 장정리 오층석탑, 하랑캠핑장, 양오낚시터, 강화역사박물관, 온달과평강농원"
대부둑공원,0.86,"강만장, 대풍식당, 교동도 대룡시장, 삼산저수지, 교동도(강화)",0.26,"카페이솔라 더 테라스, 측도, 국화도, 메추리섬, 더헤븐cc"
